state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
WEST BENGAL,9,TUFANGANJ,,,,NOTA,NOTA,2047,22,2069,0.99,234311.0,4,NOTA
WEST BENGAL,9,TUFANGANJ,MALE,54.0,SC,IND,COCONUT FARM,1458,3,1461,0.7,234311.0,5,SUSHIL CHANDRA DAS
WEST BENGAL,9,TUFANGANJ,MALE,40.0,SC,IND,Telephone,600,1,601,0.29,234311.0,6,PRAHALLAD LAYEK
WEST BENGAL,9,TUFANGANJ,MALE,42.0,SC,IND,Boat with Man and Sail,541,11,552,0.26,234311.0,7,DHANANJAY BARMAN
WEST BENGAL,9,TUFANGANJ,MALE,58.0,GENERAL,SUCI,Battery torch,481,10,491,0.23,234311.0,8,BHOLA SAHA
WEST BENGAL,9,TUFANGANJ,MALE,66.0,GENERAL,AMB,Helicopter,422,1,423,0.2,234311.0,9,JIBAN KUMAR SAHA
TURN OUT,,,,,TOTAL:,,,206508,2870,209378,89.36,,,
WEST BENGAL,10,KUMARGRAM,MALE,41.0,ST,BJP,Lotus,110658,1316,111974,48.16,272924.0,1,MANOJ KUMAR ORAON
WEST BENGAL,10,KUMARGRAM,MALE,46.0,ST,AITC,Flowers and Grass,100009,964,100973,43.43,272924.0,2,LEOS KUJUR (URAO)
WEST BENGAL,10,KUMARGRAM,MALE,37.0,ST,RSP,Spade & Stoker,11100,153,11253,4.84,272924.0,3,KISHOR MINJ
WEST BENGAL,10,KUMARGRAM,,,,NOTA,NOTA,2706,12,2718,1.17,272924.0,4,NOTA
WEST BENGAL,10,KUMARGRAM,MALE,26.0,ST,IND,Basket containing Fruits,1774,7,1781,0.77,272924.0,5,ARON MURMU
WEST BENGAL,10,KUMARGRAM,MALE,43.0,ST,KPPU,Boat with Man and Sail,1643,8,1651,0.71,272924.0,6,SHRILAL ORON
WEST BENGAL,10,KUMARGRAM,FEMALE,44.0,ST,JD(U),Arrow,1381,18,1399,0.6,272924.0,7,KALAWATI CHIK BARAIK
WEST BENGAL,10,KUMARGRAM,MALE,37.0,ST,BMUP,Cot,735,5,740,0.32,272924.0,8,SHAILEN MARANDI
TURN OUT,,,,,TOTAL:,,,230006,2483,232489,85.18,,,
WEST BENGAL,11,KALCHINI,MALE,39.0,ST,BJP,Lotus,102247,857,103104,52.65,247425.0,1,BISHAL LAMA
WEST BENGAL,11,KALCHINI,MALE,48.0,ST,AITC,Flowers and Grass,73896,632,74528,38.06,247425.0,2,PASSANG LAMA
WEST BENGAL,11,KALCHINI,MALE,48.0,ST,INC,Hand,5386,96,5482,2.8,247425.0,3,AVIJIT NARJINARY
WEST BENGAL,11,KALCHINI,MALE,42.0,ST,IND,Tractor Chalata Kisan,2416,9,2425,1.24,247425.0,4,BINAY NARJINARY
WEST BENGAL,11,KALCHINI,,,,NOTA,NOTA,2370,7,2377,1.21,247425.0,5,NOTA
WEST BENGAL,11,KALCHINI,FEMALE,41.0,ST,IND,Pineapple,2242,9,2251,1.15,247425.0,6,REKHA LAKRA (EKKA)
WEST BENGAL,11,KALCHINI,MALE,67.0,ST,IND,Coat,1858,11,1869,0.95,247425.0,7,PRAKASH KUJUR
WEST BENGAL,11,KALCHINI,MALE,30.0,ST,LJP,Bungalow,1163,1,1164,0.59,247425.0,8,CHANCHAL NARJINARY
WEST BENGAL,11,KALCHINI,MALE,39.0,ST,IND,Football,907,3,910,0.46,247425.0,9,SUKUMAR MINJ
WEST BENGAL,11,KALCHINI,MALE,50.0,ST,NPEP,Book,794,9,803,0.41,247425.0,10,ASHOK LAMA
WEST BENGAL,11,KALCHINI,MALE,36.0,ST,BMUP,Cot,475,4,479,0.24,247425.0,11,HAKIM MAHALI
WEST BENGAL,11,KALCHINI,MALE,34.0,ST,JD(U),Arrow,419,4,423,0.22,247425.0,12,MADAN KUMAR URAON
TURN OUT,,,,,TOTAL:,,,194173,1642,195815,79.14,,,
WEST BENGAL,12,ALIPURDUARS,MALE,50.0,GENERAL,BJP,Lotus,105517,1816,107333,48.19,260652.0,1,SUMAN KANJILAL
WEST BENGAL,12,ALIPURDUARS,MALE,48.0,GENERAL,AITC,Flowers and Grass,90183,1143,91326,41.0,260652.0,2,SOURAV CHAKRABORTY (GHUTIS)
WEST BENGAL,12,ALIPURDUARS,MALE,72.0,GENERAL,INC,Hand,15203,448,15651,7.03,260652.0,3,DEBA PRASAD ROY
WEST BENGAL,12,ALIPURDUARS,MALE,59.0,SC,IND,Football,2333,18,2351,1.06,260652.0,4,NIKHIL CHANDRA RAIBIR
WEST BENGAL,12,ALIPURDUARS,,,,NOTA,NOTA,1950,31,1981,0.89,260652.0,5,NOTA
